condition,task,run,model,timestamp,success,not_applicable,input_tokens,input_tokens_cached,output_tokens,reasoning_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
dart-mcp,counter_tree_inspect,1,claude-sonnet-4-6,2026-07-04T22:52:02.470Z,true,false,212020,195543,670,0,0.1682249,35.997,5,0,0
dart-mcp,counter_tree_inspect,2,claude-sonnet-4-6,2026-07-04T22:52:44.313Z,true,false,212040,195558,572,0,0.16678939999999998,34.87,5,0,0
dart-mcp,counter_tree_inspect,3,claude-sonnet-4-6,2026-07-04T22:53:24.538Z,true,false,212035,195555,663,0,0.16813650000000002,34.109,5,0,0
dart-mcp,native_gps_set,1,claude-sonnet-4-6,2026-07-04T22:53:24.541Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_gps_set,2,claude-sonnet-4-6,2026-07-04T22:53:24.541Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_gps_set,3,claude-sonnet-4-6,2026-07-04T22:53:24.542Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,1,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,2,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_permission_cycle,3,claude-sonnet-4-6,2026-07-04T22:53:24.543Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,counter_errors_clean,1,claude-sonnet-4-6,2026-07-04T22:53:54.972Z,true,false,201196,200843,471,0,0.07006689999999999,25.409,5,0,0
dart-mcp,counter_errors_clean,2,claude-sonnet-4-6,2026-07-04T22:54:29.603Z,true,false,201378,200807,527,0,0.0722041,28.347,5,0,0
dart-mcp,counter_errors_clean,3,claude-sonnet-4-6,2026-07-04T22:55:03.047Z,true,false,201393,200830,518,0,0.072028,27.71,5,0,0
dart-mcp,counter_increment_5,1,claude-sonnet-4-6,2026-07-04T22:55:57.460Z,true,false,448736,441364,1258,0,0.19612420000000003,48.993,11,0,1
dart-mcp,counter_increment_5,2,claude-sonnet-4-6,2026-07-04T22:56:52.382Z,true,false,497125,489202,1356,0,0.2152386,47.173,12,0,1
dart-mcp,counter_increment_5,3,claude-sonnet-4-6,2026-07-04T22:57:54.231Z,true,false,448814,441429,1254,0,0.1961517,56.264,11,0,1
dart-mcp,counter_hot_reload,1,claude-sonnet-4-6,2026-07-04T22:58:52.015Z,true,false,334397,325662,1183,0,0.16852160000000002,51.544,9,0,0
dart-mcp,counter_hot_reload,2,claude-sonnet-4-6,2026-07-04T22:59:42.507Z,true,false,374841,366101,1140,0,0.1800353,44.033,9,0,0
dart-mcp,counter_hot_reload,3,claude-sonnet-4-6,2026-07-04T23:00:28.215Z,true,false,334330,325626,1080,0,0.16677979999999998,39.403,9,0,0
dart-mcp,counter_restart_state,1,claude-sonnet-4-6,2026-07-04T23:01:34.966Z,true,false,450482,447935,1309,0,0.16993049999999996,60.79,11,0,1
dart-mcp,counter_restart_state,2,claude-sonnet-4-6,2026-07-04T23:02:37.289Z,true,false,450458,447917,1354,0,0.1705641,56.02,11,0,1
dart-mcp,counter_restart_state,3,claude-sonnet-4-6,2026-07-04T23:03:43.525Z,true,false,498130,495385,1581,0,0.18941950000000002,60.885,12,0,1
dart-mcp,native_deeplink,1,claude-sonnet-4-6,2026-07-04T23:03:43.528Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_deeplink,2,claude-sonnet-4-6,2026-07-04T23:03:43.530Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_deeplink,3,claude-sonnet-4-6,2026-07-04T23:03:43.532Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,counter_read_initial,1,claude-sonnet-4-6,2026-07-04T23:04:16.018Z,true,false,201713,200670,413,0,0.073294,27.391,5,0,0
dart-mcp,counter_read_initial,2,claude-sonnet-4-6,2026-07-04T23:04:46.867Z,true,false,201731,200685,418,0,0.0733915,25.986,5,0,0
dart-mcp,counter_read_initial,3,claude-sonnet-4-6,2026-07-04T23:05:19.855Z,true,false,201698,200811,410,0,0.0723553,27.273,5,0,0
dart-mcp,native_lifecycle,1,claude-sonnet-4-6,2026-07-04T23:05:19.859Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_lifecycle,2,claude-sonnet-4-6,2026-07-04T23:05:19.860Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_lifecycle,3,claude-sonnet-4-6,2026-07-04T23:05:19.861Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,counter_screenshot,1,claude-sonnet-4-6,2026-07-04T23:06:36.853Z,true,false,288929,284834,2446,0,0.1473402,71.029,7,2,0
dart-mcp,counter_screenshot,2,claude-sonnet-4-6,2026-07-04T23:08:38.959Z,true,false,454673,449854,2988,0,0.2093082,99.875,11,2,1
dart-mcp,counter_screenshot,3,claude-sonnet-4-6,2026-07-04T23:13:42.607Z,true,false,1165423,1148998,12651,0,0.6335843999999999,280.625,25,14,2
dart-mcp,counter_logs,1,claude-sonnet-4-6,2026-07-04T23:14:15.878Z,true,false,161772,160387,419,0,0.0633601,27.577,4,0,0
dart-mcp,counter_logs,2,claude-sonnet-4-6,2026-07-04T23:14:49.217Z,true,false,164637,157279,445,0,0.0986557,27.48,4,0,0
dart-mcp,counter_logs,3,claude-sonnet-4-6,2026-07-04T23:15:18.394Z,true,false,162058,155379,437,0,0.09388669999999999,23.003,4,0,0
dart-mcp,native_push,1,claude-sonnet-4-6,2026-07-04T23:15:18.397Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_push,2,claude-sonnet-4-6,2026-07-04T23:15:18.398Z,false,true,0,0,0,0,0,0,0,0,0
dart-mcp,native_push,3,claude-sonnet-4-6,2026-07-04T23:15:18.398Z,false,true,0,0,0,0,0,0,0,0,0
flutter-axi,counter_hot_reload,1,claude-sonnet-4-6,2026-07-04T22:10:29.327Z,true,false,138949,129949,1049,0,0.10939969999999999,43.474,7,3,0
flutter-axi,counter_hot_reload,2,claude-sonnet-4-6,2026-07-04T22:11:16.359Z,true,false,138895,129926,1033,0,0.1089618,38.423,7,3,0
flutter-axi,counter_hot_reload,3,claude-sonnet-4-6,2026-07-04T22:12:15.767Z,true,false,159279,150251,1115,0,0.11664029999999999,51.052,7,3,0
flutter-axi,counter_tree_inspect,1,claude-sonnet-4-6,2026-07-04T22:12:47.510Z,true,false,63609,57262,363,0,0.0613616,23.683,3,2,0
flutter-axi,counter_tree_inspect,2,claude-sonnet-4-6,2026-07-04T22:13:17.966Z,true,false,63623,57269,371,0,0.06152569999999999,23.153,3,2,0
flutter-axi,counter_tree_inspect,3,claude-sonnet-4-6,2026-07-04T22:13:49.652Z,true,false,63611,57265,363,0,0.0613565,23.141,3,2,0
flutter-axi,counter_increment_5,1,claude-sonnet-4-6,2026-07-04T22:16:21.249Z,true,false,109922,101468,1151,0,0.09905639999999999,40.166,5,4,1
flutter-axi,counter_increment_5,2,claude-sonnet-4-6,2026-07-04T22:17:07.649Z,true,false,109904,101513,1088,0,0.09775690000000001,38.987,5,4,1
flutter-axi,counter_increment_5,3,claude-sonnet-4-6,2026-07-04T22:17:54.546Z,true,false,110096,101611,1211,0,0.10018029999999997,39.675,5,4,1
flutter-axi,counter_read_initial,1,claude-sonnet-4-6,2026-07-04T22:18:23.319Z,true,false,63521,62353,286,0,0.0306499,21.775,3,2,0
flutter-axi,counter_read_initial,2,claude-sonnet-4-6,2026-07-04T22:18:50.473Z,true,false,63520,57214,286,0,0.0599362,20.178,3,2,0
flutter-axi,counter_read_initial,3,claude-sonnet-4-6,2026-07-04T22:19:18.973Z,true,false,63510,57209,281,0,0.0598297,21.931,3,2,0
flutter-axi,counter_errors_clean,1,claude-sonnet-4-6,2026-07-04T22:19:51.802Z,true,false,85456,78986,499,0,0.0706448,23.775,4,3,0
flutter-axi,counter_errors_clean,2,claude-sonnet-4-6,2026-07-04T22:20:21.065Z,true,false,85461,78989,513,0,0.0708577,22.347,4,3,0
flutter-axi,counter_errors_clean,3,claude-sonnet-4-6,2026-07-04T22:20:53.401Z,true,false,85443,78966,512,0,0.07086579999999999,25.386,4,3,0
flutter-axi,native_deeplink,1,claude-sonnet-4-6,2026-07-04T22:21:30.356Z,true,false,85892,79202,750,0,0.0757926,29.741,4,3,0
flutter-axi,native_deeplink,2,claude-sonnet-4-6,2026-07-04T22:22:07.704Z,true,false,85717,79156,630,0,0.07319479999999999,26.984,4,3,0
flutter-axi,native_deeplink,3,claude-sonnet-4-6,2026-07-04T22:22:48.490Z,true,false,86017,79264,839,0,0.0775242,32.004,4,3,0
flutter-axi,counter_restart_state,1,claude-sonnet-4-6,2026-07-04T22:23:48.638Z,true,false,156089,147740,1358,0,0.115431,50.503,7,6,1
flutter-axi,counter_restart_state,2,claude-sonnet-4-6,2026-07-04T22:24:54.537Z,true,false,156354,147863,1485,0,0.11822490000000001,57.916,7,6,2
flutter-axi,counter_restart_state,3,claude-sonnet-4-6,2026-07-04T22:25:48.144Z,true,false,156617,148089,1461,0,0.1181447,45.561,7,6,2
flutter-axi,native_gps_set,1,claude-sonnet-4-6,2026-07-04T22:26:28.190Z,true,false,85660,79109,580,0,0.07239069999999999,31.37,4,3,0
flutter-axi,native_gps_set,2,claude-sonnet-4-6,2026-07-04T22:27:05.522Z,true,false,84686,78565,629,0,0.0703825,28.389,4,3,1
flutter-axi,native_gps_set,3,claude-sonnet-4-6,2026-07-04T22:27:42.038Z,true,false,85630,79089,576,0,0.0722647,27.814,4,3,0
flutter-axi,counter_logs,1,claude-sonnet-4-6,2026-07-04T22:28:19.554Z,true,false,86338,78995,491,0,0.07577049999999999,30.372,4,3,0
flutter-axi,counter_logs,2,claude-sonnet-4-6,2026-07-04T22:28:59.712Z,true,false,86324,78985,497,0,0.0758385,32.696,4,3,0
flutter-axi,counter_logs,3,claude-sonnet-4-6,2026-07-04T22:29:35.057Z,true,false,86422,79001,557,0,0.0772253,28.207,4,3,0
flutter-axi,native_push,1,claude-sonnet-4-6,2026-07-04T22:30:22.969Z,true,false,107845,100983,744,0,0.0832649,38.87,5,4,0
flutter-axi,native_push,2,claude-sonnet-4-6,2026-07-04T22:31:17.556Z,true,false,154122,145488,1127,0,0.11298639999999999,45.077,8,5,0
flutter-axi,native_push,3,claude-sonnet-4-6,2026-07-04T22:32:18.108Z,true,false,154167,145501,1160,0,0.1136723,52.761,8,5,0
flutter-axi,native_permission_cycle,1,claude-sonnet-4-6,2026-07-04T22:32:58.480Z,true,false,107575,100951,642,0,0.08029129999999998,31.991,5,4,0
flutter-axi,native_permission_cycle,2,claude-sonnet-4-6,2026-07-04T22:33:37.016Z,true,false,107821,101066,772,0,0.0830618,30.435,5,4,0
flutter-axi,native_permission_cycle,3,claude-sonnet-4-6,2026-07-04T22:34:20.523Z,true,false,107809,101033,778,0,0.0832679,35.596,5,4,0
flutter-axi,native_lifecycle,1,claude-sonnet-4-6,2026-07-04T22:35:07.174Z,true,false,156058,148198,1246,0,0.1109434,41.547,7,6,0
flutter-axi,native_lifecycle,2,claude-sonnet-4-6,2026-07-04T22:35:58.766Z,true,false,155517,147728,1244,0,0.11033639999999997,45.517,7,6,0
flutter-axi,native_lifecycle,3,claude-sonnet-4-6,2026-07-04T22:36:42.854Z,true,false,153618,146255,1123,0,0.1055335,38.463,7,6,0
flutter-axi,counter_screenshot,1,claude-sonnet-4-6,2026-07-04T23:16:21.434Z,true,false,85731,79175,477,0,0.0708825,25.342,4,3,0
flutter-axi,counter_screenshot,2,claude-sonnet-4-6,2026-07-04T23:16:52.892Z,true,false,85692,79148,468,0,0.07066739999999999,23.865,4,3,0
flutter-axi,counter_screenshot,3,claude-sonnet-4-6,2026-07-04T23:17:28.462Z,true,false,85735,79155,498,0,0.07133049999999999,27.066,4,3,0
